Count,Name of School,School Email ,School Number,Name of POC,Email,Phone Number 1,Phone Number 2
,"Sanjivani Academy, Pune",principal@sanjivaniacademy.edu.in,,,,,
,Sanskriti College,principal@sanskriticollege.edu.in,,,,,
,"Sanskriti School, Pune",info@sanskritischoop.edu.in,,,,,
,"Sanskriti School, Pune",principal@sanskritischoop.edu.in,,,,,
,"Saraswati English School, Pune",principal@saraswatienglishschool.edu.in,,,,,
,Saraswati High School,info@saraswatihighschool.edu.in,,,,,
,Saraswati Vidyalaya,principal@saraswatividyalaya.edu.in,,,,,
,"Sathaye College, Mumbai",info@sathayecollege.edu.in,,,,,
,Satyawati College,principal@satyawaticollege.edu.in,,,,,
,Saudamini International School,info@saudaminiinternationalschool.edu.in,,,,,
,Saudamini International School,principal@saudaminiinternationalschool.edu.in,,,,,
,"Seva Mandal Education Society, Mumbai",principal@smessociety.edu.in,,,,,
,"Sharda Mandir School, Pune",info@shardamandir.edu.in,,,,,
,"Sharda Vidya Mandir, Pune",principal@shardavidyamandir.edu.in,,,,,
,"Shiksha Niketan School, Pune",info@shikshaniketanschool.edu.in,,,,,
,Shree Narayana Cultural Mission,principal@shreenarayanaschool.edu.in,,,,,
,Shree Siddhivinayak Mahila Vidyalaya,info@shreesiddhivinayak.edu.in,,,,,
,Shree Swaminarayan Gurukul International School,principal@swaminarayangurukul.edu.in,,,,,
,Shree Swaminarayan Gurukul International School,info@swaminarayangurukul.edu.in,,,,,
,"Shree Swaminarayan Institute of Technology, Ahmedabad",info@ssit.edu.in,,,,,
,"Shree Vidhyalaya English Medium School, Surat",principal@shreevidhyalaya.edu.in,,,,,
,"Shree Vidhyalaya English Medium School, Surat",info@shreevidhyalaya.edu.in,,,,,
,"Shree Vidhyalaya English Medium School, Surat",contact@shreevidhyalaya.edu.in,,,,,
,Shri Balaji International School,principal@sbis.edu.in,,,,,
,"Shri Jairambhai School, Pune",info@jairambhaischool.edu.in,,,,,
,"Shri Jairambhai School, Pune",principal@jairambhaischool.edu.in,,,,,
,"Shri Lalji Narayanji Gajera School, Pune",info@gajeraschool.edu.in,,,,,
,Shri Narayan Guru Education Trust,info@narayanguru.edu.in,,,,,
,Shri Shivaji Preparatory Military School,principal@sspms.edu.in,,,,,
,Shri Vithal Vidyalaya,principal@shreevithalvidyalaya.edu.in,,,,,
,Shri Vithal Vidyalaya,info@shreevithalvidyalaya.edu.in,,,,,
,"Siddharth College of Arts, Science & Commerce",info@siddharthcollege.edu.in,,,,,
,"Siddharth College of Arts, Science & Commerce",principal@siddharthcollege.edu.in,,,,,
,Sindhi Hindi Vidya Mandir,principal@sindhihindividyamandir.edu.in,,,,,
,"Sinhgad Academy of Engineering, Pune",principal@sinhgad.edu.in,,,,,
,Sinhgad College of Engineering,principal@sinhgadcoe.edu.in,,,,,
,Sir MV School,principal@sirmvschool.edu.in,,,,,
,SJB College of Management Studies,principal@sjbcms.edu.in,,,,,
,SJR College for Women,principal@sjrcw.edu.in,,,,,
,SJR College of Management Studies,principal@sjrcms.edu.in,,,,,
,SKE Socirty School,principal@skesociety.edu.in,,,,,
,"SNBP School, Pune",principal@snbpschool.edu.in,,,,,
,SNDT Women's University,info@sndt.ac.in,,,,,
,SNDT Women's University,principal@sndtwomensuniversity.edu.in,,,,,
,Somaiya Vidyavihar,principal@somaiyavidyavihar.edu.in,,,,,
,"Sophia High School, Mumbai",principal@sophiahighschool.edu.in,,,,,
,South Indian Education Society,principal@sies.edu.in,,,,,
,South Indian Education Society,info@sies.edu.in,,,,,
,SPJ Sadhana School,principal@spjsadhana.edu.in,,,,,
,SPJ Sadhana School,info@spjsadhana.edu.in,,,,,
,"SPJ School, Pune",principal@spjschool.edu.in,,,,,
,Sri Kumaran Children's Home School,principal@kumarans.edu.in,,,,,
,"Sri Vidya Mandir School, Pune",info@srividyamandir.edu.in,,,,,
,"Sri Vidya Mandir School, Pune",principal@srividyamandir.edu.in,,,,,
,St Francis D'Assisi High School,info@stfrancisassisi.edu.in,,,,,
,St John the Baptist High School,info@stjohnbaptisthighschool.edu.in,,,,,
,"St John the Baptist School, Mumbai",principal@stjohnbaptist.edu.in,,,,,
,"St Joseph's Academy, Pune",principal@stjosephsacademy.edu.in,,,,,
,St Joseph's High School,info@stjosephs.edu.in,,,,,
,St Joseph's High School,principal@stjosephs.edu.in,,,,,
,St Joseph's High School,contact@stjosephs.edu.in,,,,,
,"St Kabir High School, Pune",info@stkabirhighschool.edu.in,,,,,
,"St Lawrence High School, Pune",principal@stlawrenceschool.edu.in,,,,,
,"St Lawrence High School, Pune",info@stlawrenceschool.edu.in,,,,,
,St Mary High School,info@stmaryhighschool.edu.in,,,,,
,St Michael's School,principal@stmichael.edu.in,,,,,
,St Teresa High School,info@stteresahighschool.edu.in,,,,,
,St Xavier's College,principal@stxaviers.edu.in,,,,,
,"St Xavier's College, Pune",info@stxavierspune.edu.in,,,,,
,Star International School,info@starinternationalschool.edu.in,,,,,
,Star International School,principal@starinternationalschool.edu.in,,,,,
,"Sterling School, Pune",info@sterlingschool.edu.in,,,,,
,"Sterling School, Pune",principal@sterlingschool.edu.in,,,,,
,Subhash Vidya Mandir,principal@subhashvidyamandir.edu.in,,,,,
,"Sunrise School, Pune",info@sunriseschool.edu.in,,,,,
,"Sunrise School, Pune",principal@sunriseschool.edu.in,,,,,
,Surajba Mahila Vidyalaya,info@surajbavidyalaya.edu.in,,,,,
,Surajba Vidya Mandir,principal@surajbavidyamandir.edu.in,,,,,
,"SVKM School, Mumbai",info@svkmschool.edu.in,,,,,
,Swami Vivekanand High School,info@svhs.edu.in,,,,,
,Swami Vivekanand International School,principal@svinterschool.edu.in,,,,,
,"Swami Vivekanand School, Pune",principal@svschool.edu.in,,,,,
,Swastik International School,info@swastikschool.edu.in,,,,,
,Swastik Vidya Mandir,principal@swastikvidyamandir.edu.in,,,,,
,Swastik Vidyalaya,principal@swastikvidyalaya.edu.in,,,,,
,Symbiosis International School,info@symbiosisinternationalschool.edu.in,,,,,
,Symbiosis International School,principal@symbiosisinternationalschool.edu.in,,,,,
,"Symbiosis School, Pune",info@symbiosis.edu.in,,,,,
,"Symbiosis School, Pune",principal@symbiosis.edu.in,,,,,
,Tardeo High School,info@tardeohighschool.edu.in,,,,,
,Tardeo School,principal@tardeoschool.edu.in,,,,,
,Tata Institute of Social Sciences,principal@tiss.edu.in,,,,,
,Tata Memorial Centre,info@tmc.edu.in,,,,,
,Thakur College of Engineering & Technology,info@thakurengineering.edu.in,,,,,
,Thakur Vidya Mandir,principal@thakurvidyamandir.edu.in,,,,,
,Thane College,info@thanecollege.edu.in,,,,,
,Thane International School,principal@thaneinternationalschool.edu.in,,,,,
,Thane School,principal@theschool.edu.in,,,,,
,Thane School,info@theschool.edu.in,,,,,
,Thane Vidya Mandir,info@thanevidyamandir.edu.in,,,,,
,Thane Vidya Mandir,principal@thanevidyamandir.edu.in,,,,,
,Thane Vidyapith,info@thanevidyapith.edu.in,,,,,
,Thane Vidyapith,principal@thanevidyapith.edu.in,,,,,
,Thomas Baptista School,info@thomasbaptista.edu.in,,,,,
,Thomas Baptista School,principal@thomasbaptista.edu.in,,,,,
,Tilak College of Engineering,info@tilakengineering.edu.in,,,,,
,Tilak College of Engineering,principal@tilakengineering.edu.in,,,,,
,"Tilak Junior College, Pune",info@tilakjuniorcollege.edu.in,,,,,
,"Tilak Junior College, Pune",principal@tilakjuniorcollege.edu.in,,,,,
,"Tilak School, Pune",principal@tilakschool.edu.in,,,,,
,Tilak Vidya Mandir,info@tilakvidyamandir.edu.in,,,,,
,Tilak Vidyalaya,info@tilakvidyalaya.edu.in,,,,,
,Triveni Institute of Management Education & Computer Studies,principal@triveniinstitute.edu.in,,,,,
,"Triveni Vidya Mandir, Pune",info@trivenividyamandir.edu.in,,,,,
,"UCE School, Pune",info@uceschool.edu.in,,,,,
,"UCE School, Pune",principal@uceschool.edu.in,,,,,
,"Ulhas School, Pune",info@ulhasschool.edu.in,,,,,
,"Ulhas School, Pune",principal@ulhasschool.edu.in,,,,,
,"UME School, Pune",info@umeschool.edu.in,,,,,
,"UME School, Pune",principal@umeschool.edu.in,,,,,
,Universal College of Engineering,principal@ucoe.edu.in,,,,,
,"Universal Education Society, Mumbai",principal@universal.edu.in,,,,,
,Universal High School,info@universalhighschool.edu.in,,,,,
,Universal High School,principal@universalhighschool.edu.in,,,,,
,"Universal High School, Pune",principal@universalhighschoolpune.edu.in,,,,,
,Universal Institute of Hotel Management,principal@uihm.edu.in,,,,,
,"Universal Junior College, Pune",info@universaljuniorcollege.edu.in,,,,,
,"Universal School, Mumbai",info@universalschool.edu.in,,,,,
,"Universal School, Mumbai",principal@universalschool.edu.in,,,,,
,Usha Pravin Gandhi College of Management,info@upgcm.edu.in,,,,,
,Usha Pravin Gandhi College of Management,principal@upgcm.edu.in,,,,,
,Usha Pravin Gandhi College of Management,admissions@upgcm.edu.in,,,,,
,"Usha Pravin Gandhi Junior College of Arts, Science & Commerce",info@upgcm.edu.in,,,,,
,"Usha Pravin Gandhi Junior College of Arts, Science & Commerce",principal@upgcm.edu.in,,,,,
,"Vidya Bhavan School, Pune",info@vidyabhavanschool.edu.in,,,,,
,"Vidya Bhavan School, Pune",principal@vidyabhavanschool.edu.in,,,,,
,"Vidya Mandir School, Pune",info@vidyamandirschool.edu.in,,,,,
,"Vidya Mandir School, Pune",principal@vidyamandirschool.edu.in,,,,,
,Vidya Prasarak Mandal,info@vidyaprasarakmandal.edu.in,,,,,
,Vidya Prasarak Mandal,principal@vidyaprasarakmandal.edu.in,,,,,
,"Vidya Pratishthan College, Pune",info@vidyapratishthancollege.edu.in,,,,,
,"Vidya Pratishthan College, Pune",principal@vidyapratishthancollege.edu.in,,,,,
,"Vidya Pratishthan College, Pune",admissions@vidyapratishthancollege.edu.in,,,,,
,"Vidyavihar School, Pune",info@vidyaviharschool.edu.in,,,,,
,"Vidyavihar School, Pune",principal@vidyaviharschool.edu.in,,,,,
,"Vivekanand Education Society, Mumbai",info@ves.edu.in,,,,,
,"Vivekanand Education Society, Mumbai",principal@ves.edu.in,,,,,
,"Vivekanand School, Pune",info@vivekanandschool.edu.in,,,,,
,"Vivekanand School, Pune",principal@vivekanandschool.edu.in,,,,,
,"VPM College of Engineering, Pune",principal@vpmcoe.edu.in,,,,,
,"VPM School, Pune",info@vpmschool.edu.in,,,,,
,"Wadia College, Pune",info@wadia.edu.in,,,,,
,"Wadia College, Pune",principal@wadia.edu.in,,,,,
,"Wadia Junior College, Pune",info@wadiajuniorcollege.edu.in,,,,,
,"Wadia Junior College, Pune",principal@wadiajuniorcollege.edu.in,,,,,
,"Wadia School, Pune",info@wadiaschool.edu.in,,,,,
,"Wadia School, Pune",principal@wadiaschool.edu.in,,,,,
,"Wilson College, Mumbai",info@wilsoncollege.edu.in,,,,,
,"Wilson College, Mumbai",principal@wilsoncollege.edu.in,,,,,
,"Xavier Institute of Engineering, Mumbai",principal@xavierengineering.edu.in,,,,,
,Yashwantrao Chavan Institute of Science,info@yashwantraochavaninstitute.edu.in,,,,,
,Yashwantrao Chavan Institute of Science,principal@yashwantraochavaninstitute.edu.in,,,,,
,"Yashwantrao Chavan School, Pune",principal@yashwantraochavanschool.edu.in,,,,,
,Yashwantrao Vidya Mandir,info@yashwantraovidya.edu.in,,,,,
,Yashwantrao Vidya Mandir,principal@yashwantraovidya.edu.in,,,,,
